Type,Document,Start,End
L1 Background,United_States-EN-1-3.txt,7,20856
L1 Analysis,United_States-EN-1-3.txt,20862,57184
L2 Outcome,United_States-EN-1-3.txt,56920,57184
L1 Background,United_States-EN-1-4.txt,2,6157
L1 Analysis,United_States-EN-1-4.txt,6161,14825
L2 Outcome,United_States-EN-1-4.txt,14444,14825
L1 Background,United_States-EN-1-5.txt,3,3292
L1 Analysis,United_States-EN-1-5.txt,3294,28630
L2 Outcome,United_States-EN-1-5.txt,28382,28630
L1 Background,United_States-EN-1-6.txt,2,6286
L1 Analysis,United_States-EN-1-6.txt,6288,31548
L2 Outcome,United_States-EN-1-6.txt,30415,31548
L1 Background,United_States-EN-1-2.txt,2,4623
L1 Analysis,United_States-EN-1-2.txt,4629,19445
L2 Outcome,United_States-EN-1-2.txt,18781,19445
L1 Background,United_States-EN-1-1.txt,4,1817
L1 Analysis,United_States-EN-1-1.txt,1819,10164
L2 Outcome,United_States-EN-1-1.txt,9906,10164
L1 Background,United_States-EN-1-7.txt,2,8530
L1 Analysis,United_States-EN-1-7.txt,8532,26489
L2 Outcome,United_States-EN-1-7.txt,26322,26489
L1 Background,United_States-EN-1-8.txt,4,5983
L1 Analysis,United_States-EN-1-8.txt,5987,31951
L2 Outcome,United_States-EN-1-8.txt,30607,31951
L1 Background,United_States-EN-1-20.txt,6,11181
L1 Analysis,United_States-EN-1-20.txt,11183,85787
L2 Outcome,United_States-EN-1-20.txt,84239,85787
L1 Background,United_States-EN-1-10.txt,2,16444
L1 Analysis,United_States-EN-1-10.txt,16444,65717
L2 Outcome,United_States-EN-1-10.txt,65098,65717
L1 Background,United_States-EN-1-13.txt,4,12028
L1 Analysis,United_States-EN-1-13.txt,12032,59874
L2 Outcome,United_States-EN-1-13.txt,59461,59874
L1 Background,United_States-EN-1-11.txt,4,3291
L1 Analysis,United_States-EN-1-11.txt,3444,20494
L2 Outcome,United_States-EN-1-11.txt,20238,20494
L1 Analysis,United_States-EN-1-9.txt,664,5396
L2 Outcome,United_States-EN-1-9.txt,4612,4857
L2 Outcome,United_States-EN-1-9.txt,5212,5396
L1 Background,United_States-EN-1-9.txt,4,661
L1 Background,United_States-EN-1-16.txt,2,833
L1 Background,United_States-EN-1-16.txt,839,37897
L1 Analysis,United_States-EN-1-16.txt,37901,114616
L2 Outcome,United_States-EN-1-16.txt,113207,114616
L1 Background,United_States-EN-1-12.txt,2,6820
L1 Analysis,United_States-EN-1-12.txt,6822,43639
L2 Outcome,United_States-EN-1-12.txt,42950,43639
L1 Background,United_States-EN-1-17.txt,61,8430
L1 Analysis,United_States-EN-1-17.txt,8432,38570
L2 Outcome,United_States-EN-1-17.txt,37750,38570
L1 Background,United_States-EN-1-14.txt,5,16188
L1 Analysis,United_States-EN-1-14.txt,16190,45736
L2 Outcome,United_States-EN-1-14.txt,44819,45736
L1 Background,United_States-EN-1-15.txt,7,3677
L1 Analysis,United_States-EN-1-15.txt,3682,20322
L2 Outcome,United_States-EN-1-15.txt,20132,20322
L1 Background,United_States-EN-1-18.txt,2,8073
L1 Analysis,United_States-EN-1-18.txt,8077,34125
L2 Outcome,United_States-EN-1-18.txt,33929,34125
L1 Background,United_States-EN-1-24.txt,2,6649
L1 Analysis,United_States-EN-1-24.txt,6654,35784
L2 Outcome,United_States-EN-1-24.txt,34587,35784
L1 Background,United_States-EN-1-32.txt,2,3815
L1 Analysis,United_States-EN-1-32.txt,3819,67784
L2 Outcome,United_States-EN-1-32.txt,66128,67784
L1 Background,United_States-EN-1-23.txt,29,14946
L1 Analysis,United_States-EN-1-23.txt,14948,49947
L2 Outcome,United_States-EN-1-23.txt,48833,49947
L1 Background,United_States-EN-1-21.txt,2,6619
L1 Analysis,United_States-EN-1-21.txt,6623,8863
L2 Outcome,United_States-EN-1-21.txt,8395,8863
L1 Background,United_States-EN-1-19.txt,0,4327
L1 Analysis,United_States-EN-1-19.txt,4331,39322
L2 Outcome,United_States-EN-1-19.txt,39207,39322
L1 Background,United_States-EN-1-22.txt,2,10812
L1 Analysis,United_States-EN-1-22.txt,10812,25861
L2 Outcome,United_States-EN-1-22.txt,24526,25861
L1 Background,United_States-EN-1-28.txt,0,5068
L1 Analysis,United_States-EN-1-28.txt,5072,94769
L2 Outcome,United_States-EN-1-28.txt,94598,94769
L1 Background,United_States-EN-1-27.txt,0,3953
L1 Analysis,United_States-EN-1-27.txt,3956,92136
L2 Outcome,United_States-EN-1-27.txt,91985,92136
L1 Background,United_States-EN-1-25.txt,2,5899
L1 Analysis,United_States-EN-1-25.txt,5905,16450
L2 Outcome,United_States-EN-1-25.txt,16142,16450
L1 Analysis,United_States-EN-1-26.txt,792,2265
L1 Analysis,United_States-EN-1-26.txt,4234,9141
L1 Background,United_States-EN-1-26.txt,2,790
L1 Background,United_States-EN-1-26.txt,2267,4230
L2 Outcome,United_States-EN-1-26.txt,8566,9141
L1 Analysis,United_States-EN-1-30.txt,1191,2650
L1 Analysis,United_States-EN-1-30.txt,4486,17760
L1 Background,United_States-EN-1-30.txt,2,1189
L1 Background,United_States-EN-1-30.txt,2654,4482
L2 Outcome,United_States-EN-1-30.txt,16657,17760
L1 Background,United_States-EN-1-35.txt,2,12669
L1 Analysis,United_States-EN-1-35.txt,12670,24234
L2 Outcome,United_States-EN-1-35.txt,23644,24234
L1 Background,United_States-EN-1-31.txt,2,1405
L1 Analysis,United_States-EN-1-31.txt,1408,14472
L2 Outcome,United_States-EN-1-31.txt,13580,14472
L1 Background,United_States-EN-1-34.txt,2,3317
L1 Analysis,United_States-EN-1-34.txt,3319,5557
L2 Outcome,United_States-EN-1-34.txt,5263,5557
L1 Background,United_States-EN-1-33.txt,2,28186
L1 Analysis,United_States-EN-1-33.txt,28188,47168
L2 Outcome,United_States-EN-1-33.txt,46025,47168
L1 Background,United_States-EN-1-36.txt,2,3926
L1 Analysis,United_States-EN-1-36.txt,3929,11573
L2 Outcome,United_States-EN-1-36.txt,10865,11573
L1 Background,United_States-EN-1-37.txt,2,202
L1 Background,United_States-EN-1-37.txt,1658,5967
L1 Analysis,United_States-EN-1-37.txt,204,1652
L1 Analysis,United_States-EN-1-37.txt,5971,20542
L2 Outcome,United_States-EN-1-37.txt,20327,20542
L1 Background,United_States-EN-1-38.txt,0,2121
L1 Background,United_States-EN-1-38.txt,4198,6109
L1 Analysis,United_States-EN-1-38.txt,2123,4192
L1 Analysis,United_States-EN-1-38.txt,6111,13766
L2 Outcome,United_States-EN-1-38.txt,13149,13766
L1 Background,United_States-EN-1-41.txt,2,32251
L1 Analysis,United_States-EN-1-41.txt,32253,81972
L2 Outcome,United_States-EN-1-41.txt,81409,81972
L1 Background,United_States-EN-1-45.txt,3,4159
L1 Analysis,United_States-EN-1-45.txt,4165,44582
L2 Outcome,United_States-EN-1-45.txt,42846,44582
L1 Background,United_States-EN-1-39.txt,8,3786
L1 Analysis,United_States-EN-1-39.txt,3788,41720
L2 Outcome,United_States-EN-1-39.txt,40761,41720
L1 Background,United_States-EN-1-42.txt,2,2142
L1 Analysis,United_States-EN-1-42.txt,2144,18690
L2 Outcome,United_States-EN-1-42.txt,18569,18690
L1 Background,United_States-EN-1-40.txt,0,3559
L1 Analysis,United_States-EN-1-40.txt,3562,63639
