Type,Document,Start,End
L0 Out of Scope,United_States-EN-2-6.txt,0,579
L0 Heading,United_States-EN-2-6.txt,2603,2613
L0 Heading,United_States-EN-2-6.txt,6071,6106
L0 Heading,United_States-EN-2-6.txt,582,640
L0 Out of Scope,United_States-EN-2-6.txt,642,653
L1 Background,United_States-EN-2-6.txt,654,2602
L1 Background,United_States-EN-2-6.txt,2603,6068
L2 Introductory Summary,United_States-EN-2-6.txt,654,2601
L2 Outcome,United_States-EN-2-6.txt,16017,16330
L1 Analysis,United_States-EN-2-6.txt,6108,16017
L1 Analysis,United_States-EN-2-6.txt,16330,17718
L0 Out of Scope,United_States-EN-2-7.txt,0,1232
L0 Out of Scope,United_States-EN-2-7.txt,1232,1268
L2 Introductory Summary,United_States-EN-2-7.txt,1270,1933
L0 Heading,United_States-EN-2-7.txt,5548,5558
L0 Heading,United_States-EN-2-7.txt,16015,16025
L2 Outcome,United_States-EN-2-7.txt,15711,16013
L2 Outcome,United_States-EN-2-7.txt,16027,16127
L0 Heading,United_States-EN-2-7.txt,11618,11686
L0 Heading,United_States-EN-2-7.txt,4480,4515
L1 Background,United_States-EN-2-7.txt,1935,4478
L2 Outcome,United_States-EN-2-7.txt,16129,16140
L0 Out of Scope,United_States-EN-2-7.txt,16141,17002
L2 Outcome,United_States-EN-2-7.txt,16015,16025
L1 Analysis,United_States-EN-2-7.txt,15710,16013
L0 Heading,United_States-EN-2-7.txt,10896,10961
L1 Analysis,United_States-EN-2-7.txt,11686,15709
L1 Analysis,United_States-EN-2-7.txt,10961,11616
L1 Analysis,United_States-EN-2-7.txt,5578,10894
L0 Heading,United_States-EN-2-7.txt,5560,5576
L1 Analysis,United_States-EN-2-7.txt,5548,5558
L1 Analysis,United_States-EN-2-7.txt,4517,5546
L0 Out of Scope,United_States-EN-2-2.txt,0,552
L0 Heading,United_States-EN-2-2.txt,552,570
L0 Out of Scope,United_States-EN-2-2.txt,572,583
L0 Heading,United_States-EN-2-2.txt,1952,1962
L2 Introductory Summary,United_States-EN-2-2.txt,584,1950
L0 Heading,United_States-EN-2-2.txt,3459,3494
L1 Analysis,United_States-EN-2-2.txt,3496,4650
L1 Background,United_States-EN-2-2.txt,1952,3457
L0 Heading,United_States-EN-2-2.txt,4652,4663
L1 Analysis,United_States-EN-2-2.txt,4652,12652
L0 Heading,United_States-EN-2-2.txt,12654,12664
L2 Outcome,United_States-EN-2-2.txt,12654,12934
L0 Out of Scope,United_States-EN-2-3.txt,0,576
L0 Heading,United_States-EN-2-3.txt,576,594
L0 Out of Scope,United_States-EN-2-3.txt,596,608
L0 Heading,United_States-EN-2-3.txt,1202,1212
L2 Introductory Summary,United_States-EN-2-3.txt,608,1200
L1 Background,United_States-EN-2-3.txt,1202,3649
L0 Heading,United_States-EN-2-3.txt,3651,3687
L1 Analysis,United_States-EN-2-3.txt,3688,5068
L0 Heading,United_States-EN-2-3.txt,5070,5080
L1 Analysis,United_States-EN-2-3.txt,5070,11471
L0 Heading,United_States-EN-2-3.txt,11473,11483
L2 Outcome,United_States-EN-2-3.txt,11473,11857
L0 Out of Scope,United_States-EN-2-4.txt,0,645
L0 Heading,United_States-EN-2-4.txt,645,673
L0 Heading,United_States-EN-2-4.txt,2197,2207
L0 Out of Scope,United_States-EN-2-4.txt,2207,2208
L2 Introductory Summary,United_States-EN-2-4.txt,675,2196
L1 Background,United_States-EN-2-4.txt,2210,6099
L0 Heading,United_States-EN-2-4.txt,6099,6136
L1 Analysis,United_States-EN-2-4.txt,6137,6375
L0 Heading,United_States-EN-2-4.txt,6375,6385
L1 Analysis,United_States-EN-2-4.txt,6375,19515
L0 Heading,United_States-EN-2-4.txt,19517,19528
L2 Outcome,United_States-EN-2-4.txt,19517,19906
L0 Out of Scope,United_States-EN-2-4.txt,19908,20000
L0 Out of Scope,United_States-EN-2-1.txt,0,597
L0 Heading,United_States-EN-2-1.txt,597,622
L0 Heading,United_States-EN-2-1.txt,1160,1170
L0 Heading,United_States-EN-2-1.txt,3261,3297
L0 Heading,United_States-EN-2-1.txt,4501,4511
L0 Heading,United_States-EN-2-1.txt,8643,8653
L2 Outcome,United_States-EN-2-1.txt,8643,8852
L1 Analysis,United_States-EN-2-1.txt,3299,8640
L1 Background,United_States-EN-2-1.txt,1160,3259
L2 Introductory Summary,United_States-EN-2-1.txt,623,1158
L0 Out of Scope,United_States-EN-2-5.txt,0,519
L0 Heading,United_States-EN-2-5.txt,519,537
L0 Heading,United_States-EN-2-5.txt,1363,1374
L0 Out of Scope,United_States-EN-2-5.txt,537,550
L2 Introductory Summary,United_States-EN-2-5.txt,551,1362
L0 Heading,United_States-EN-2-5.txt,6726,6736
L0 Heading,United_States-EN-2-5.txt,4978,5014
L1 Analysis,United_States-EN-2-5.txt,5015,6725
L1 Background,United_States-EN-2-5.txt,1364,4977
L0 Heading,United_States-EN-2-5.txt,17252,17262
L2 Outcome,United_States-EN-2-5.txt,17252,17495
L0 Out of Scope,United_States-EN-2-5.txt,17496,17912
L1 Analysis,United_States-EN-2-5.txt,6726,17252
L0 Out of Scope,United_States-EN-2-8.txt,0,687
L0 Heading,United_States-EN-2-8.txt,687,705
L0 Heading,United_States-EN-2-8.txt,1662,1673
L2 Introductory Summary,United_States-EN-2-8.txt,706,1659
L0 Heading,United_States-EN-2-8.txt,1674,1684
L1 Background,United_States-EN-2-8.txt,1686,7671
L1 Background,United_States-EN-2-8.txt,1662,1672
L0 Heading,United_States-EN-2-8.txt,7673,7708
L0 Out of Scope,United_States-EN-2-8.txt,29608,42083
L0 Heading,United_States-EN-2-8.txt,29289,29299
L2 Outcome,United_States-EN-2-8.txt,29289,29606
L0 Heading,United_States-EN-2-8.txt,8248,8258
L1 Analysis,United_States-EN-2-8.txt,7710,29289
L0 Out of Scope,United_States-EN-2-10.txt,0,570
L0 Heading,United_States-EN-2-10.txt,570,588
L0 Out of Scope,United_States-EN-2-10.txt,590,602
L2 Introductory Summary,United_States-EN-2-10.txt,602,1320
L0 Heading,United_States-EN-2-10.txt,1322,1332
L0 Heading,United_States-EN-2-10.txt,1334,1355
L0 Heading,United_States-EN-2-10.txt,3297,3342
L0 Heading,United_States-EN-2-10.txt,3953,3998
L0 Heading,United_States-EN-2-10.txt,5174,5209
L0 Heading,United_States-EN-2-10.txt,5909,5919
L1 Background,United_States-EN-2-10.txt,4000,5172
L1 Background,United_States-EN-2-10.txt,3344,3951
L1 Background,United_States-EN-2-10.txt,1357,3295
L1 Background,United_States-EN-2-10.txt,602,1332
L1 Analysis,United_States-EN-2-10.txt,5211,13575
L0 Heading,United_States-EN-2-10.txt,13577,13587
L2 Outcome,United_States-EN-2-10.txt,13577,13722
L0 Out of Scope,United_States-EN-2-10.txt,13723,14320
L1 Background,United_States-EN-2-7.txt,1270,1934
L1 Background,United_States-EN-2-2.txt,584,1950
L1 Background,United_States-EN-2-3.txt,608,1200
L1 Background,United_States-EN-2-4.txt,675,2195
L1 Background,United_States-EN-2-1.txt,665,1158
L1 Background,United_States-EN-2-5.txt,552,1362
