Type,Document,Start,End
L1 Background,United_States-EN-2-6.txt,6,5410
L1 Analysis,United_States-EN-2-6.txt,5415,17025
L2 Outcome,United_States-EN-2-6.txt,15324,15637
L1 Background,United_States-EN-2-7.txt,2,3210
L1 Analysis,United_States-EN-2-7.txt,3214,14668
L2 Outcome,United_States-EN-2-7.txt,14249,14668
L1 Background,United_States-EN-2-2.txt,3,2866
L1 Analysis,United_States-EN-2-2.txt,2870,12287
L2 Outcome,United_States-EN-2-2.txt,12017,12287
L1 Background,United_States-EN-2-3.txt,2,3033
L1 Analysis,United_States-EN-2-3.txt,3036,11185
L2 Outcome,United_States-EN-2-3.txt,10811,11185
L1 Background,United_States-EN-2-4.txt,2,5415
L1 Analysis,United_States-EN-2-4.txt,5416,19164
L2 Outcome,United_States-EN-2-4.txt,18786,19164
L1 Background,United_States-EN-2-1.txt,1,2627
L1 Analysis,United_States-EN-2-1.txt,2631,8164
L2 Outcome,United_States-EN-2-1.txt,7965,8164
L1 Background,United_States-EN-2-5.txt,1,4416
L1 Analysis,United_States-EN-2-5.txt,4418,16878
L2 Outcome,United_States-EN-2-5.txt,16645,16878
L1 Background,United_States-EN-2-8.txt,1,6945
L1 Analysis,United_States-EN-2-8.txt,6949,28825
L2 Outcome,United_States-EN-2-8.txt,28518,28825
L1 Background,United_States-EN-2-10.txt,2,4451
L1 Analysis,United_States-EN-2-10.txt,4455,12946
L2 Outcome,United_States-EN-2-10.txt,12811,12946
L1 Background,United_States-EN-2-11.txt,4,6509
L1 Analysis,United_States-EN-2-11.txt,6512,32316
L2 Outcome,United_States-EN-2-11.txt,32064,32316
L1 Background,United_States-EN-2-9.txt,5,9725
L1 Analysis,United_States-EN-2-9.txt,9730,28980
L2 Outcome,United_States-EN-2-9.txt,28464,28980
L1 Background,United_States-EN-2-12.txt,5,2893
L1 Analysis,United_States-EN-2-12.txt,2897,8210
L2 Outcome,United_States-EN-2-12.txt,7962,8210
L1 Background,United_States-EN-2-17.txt,4,1549
L1 Analysis,United_States-EN-2-17.txt,1553,21444
L2 Outcome,United_States-EN-2-17.txt,21061,21444
L1 Background,United_States-EN-2-15.txt,2,1540
L1 Analysis,United_States-EN-2-15.txt,1544,8907
