Type,Document,Start,End
L0 Out of Scope,France-FR-1-1.txt,0,74
L0 Heading,France-FR-1-1.txt,76,105
L0 Heading,France-FR-1-1.txt,3865,3882
L2 Outcome,France-FR-1-1.txt,3883,4062
L1 Background,France-FR-1-1.txt,106,606
L0 Out of Scope,France-FR-1-1.txt,4062,10111
L0 Out of Scope,France-FR-1-2.txt,0,130
L0 Heading,France-FR-1-2.txt,133,155
L0 Heading,France-FR-1-2.txt,1509,1583
L2 Outcome,France-FR-1-2.txt,1586,2375
L0 Out of Scope,France-FR-1-2.txt,2378,9221
L1 Background,France-FR-1-2.txt,158,1124
L0 Out of Scope,France-FR-1-3.txt,0,75
L0 Heading,France-FR-1-3.txt,80,101
L1 Background,France-FR-1-3.txt,105,1204
L0 Heading,France-FR-1-3.txt,1841,1857
L2 Outcome,France-FR-1-3.txt,1861,2821
L0 Out of Scope,France-FR-1-3.txt,2825,6048
L0 Out of Scope,France-FR-1-4.txt,0,74
L1 Background,France-FR-1-4.txt,78,1327
L0 Heading,France-FR-1-4.txt,1330,1352
L0 Heading,France-FR-1-4.txt,4380,4401
L0 Heading,France-FR-1-4.txt,5976,5992
L2 Outcome,France-FR-1-4.txt,5995,6123
L0 Out of Scope,France-FR-1-4.txt,6126,11425
L0 Out of Scope,France-FR-1-8.txt,0,74
L1 Background,France-FR-1-8.txt,77,938
L0 Heading,France-FR-1-8.txt,939,962
L0 Heading,France-FR-1-8.txt,2019,2092
L2 Outcome,France-FR-1-8.txt,2093,2852
L0 Out of Scope,France-FR-1-8.txt,2853,15228
L1 Background,France-FR-1-3.txt,77,101
L1 Background,France-FR-1-2.txt,133,155
L1 Background,France-FR-1-1.txt,76,105
L0 Out of Scope,France-FR-1-5.txt,0,69
L1 Background,France-FR-1-5.txt,74,640
L0 Heading,France-FR-1-5.txt,2516,2591
L2 Outcome,France-FR-1-5.txt,2594,3229
L0 Out of Scope,France-FR-1-5.txt,3232,8559
L0 Heading,France-FR-1-5.txt,643,665
L0 Out of Scope,France-FR-1-9.txt,0,74
L1 Background,France-FR-1-9.txt,76,1186
L0 Heading,France-FR-1-9.txt,1187,1210
L0 Heading,France-FR-1-9.txt,7337,7361
L0 Heading,France-FR-1-9.txt,9467,9492
L0 Heading,France-FR-1-9.txt,11247,11277
L0 Heading,France-FR-1-9.txt,12127,12144
L2 Outcome,France-FR-1-9.txt,12145,13004
L0 Out of Scope,France-FR-1-9.txt,13005,28264
L0 Out of Scope,France-FR-1-6.txt,0,74
L1 Background,France-FR-1-6.txt,76,1046
L0 Heading,France-FR-1-6.txt,1747,1764
L0 Out of Scope,France-FR-1-7.txt,0,74
L1 Background,France-FR-1-7.txt,79,763
L0 Heading,France-FR-1-7.txt,2198,2214
L2 Outcome,France-FR-1-7.txt,2217,2403
L0 Out of Scope,France-FR-1-7.txt,2406,2566
L0 Out of Scope,France-FR-1-19.txt,0,551
L1 Background,France-FR-1-19.txt,554,2744
L0 Heading,France-FR-1-19.txt,9225,9299
L0 Heading,France-FR-1-19.txt,8111,8188
L0 Heading,France-FR-1-19.txt,6685,6762
L0 Heading,France-FR-1-19.txt,4871,4919
L0 Heading,France-FR-1-19.txt,3557,3606
L0 Heading,France-FR-1-19.txt,2747,2818
L2 Outcome,France-FR-1-19.txt,9302,10388
L0 Out of Scope,France-FR-1-19.txt,10390,147090
L0 Out of Scope,France-FR-1-10.txt,0,73
L0 Heading,France-FR-1-10.txt,78,126
L1 Background,France-FR-1-10.txt,78,426
L0 Heading,France-FR-1-10.txt,2444,2460
L2 Outcome,France-FR-1-10.txt,2463,2516
L0 Out of Scope,France-FR-1-10.txt,2519,5431
L0 Out of Scope,France-FR-1-11.txt,0,74
L1 Background,France-FR-1-11.txt,79,439
L0 Heading,France-FR-1-11.txt,442,500
L0 Heading,France-FR-1-11.txt,1397,1413
L2 Outcome,France-FR-1-11.txt,1416,1669
L0 Out of Scope,France-FR-1-11.txt,1672,1833
L0 Out of Scope,France-FR-1-12.txt,0,73
L1 Background,France-FR-1-12.txt,76,1512
L0 Heading,France-FR-1-12.txt,2825,2842
L2 Outcome,France-FR-1-12.txt,2843,2922
L0 Out of Scope,France-FR-1-12.txt,2923,3078
L0 Out of Scope,France-FR-1-14.txt,0,73
L0 Heading,France-FR-1-14.txt,76,116
L0 Heading,France-FR-1-14.txt,2236,2253
L2 Outcome,France-FR-1-14.txt,2254,3001
L0 Out of Scope,France-FR-1-14.txt,3002,8895
L0 Out of Scope,France-FR-1-13.txt,0,73
L1 Background,France-FR-1-13.txt,78,461
L0 Heading,France-FR-1-13.txt,78,128
L0 Heading,France-FR-1-13.txt,3215,3231
L2 Outcome,France-FR-1-13.txt,3234,3543
L0 Out of Scope,France-FR-1-13.txt,3546,10155
L0 Out of Scope,France-FR-1-15.txt,0,74
L1 Background,France-FR-1-15.txt,79,794
L0 Heading,France-FR-1-15.txt,79,101
L0 Heading,France-FR-1-15.txt,5327,5343
L2 Outcome,France-FR-1-15.txt,5346,5670
