Type,Document,Start,End
L1 Background,France-FR-1-1.txt,2,2431
L1 Analysis,France-FR-1-1.txt,2432,3944
L2 Outcome,France-FR-1-1.txt,3762,3944
L1 Background,France-FR-1-2.txt,1,724
L1 Analysis,France-FR-1-2.txt,729,2149
L2 Outcome,France-FR-1-2.txt,1357,2149
L1 Background,France-FR-1-3.txt,6,786
L1 Analysis,France-FR-1-3.txt,790,2710
L2 Outcome,France-FR-1-3.txt,1746,2710
L1 Background,France-FR-1-4.txt,5,1254
L1 Analysis,France-FR-1-4.txt,1257,5991
L2 Outcome,France-FR-1-4.txt,5859,5991
L1 Background,France-FR-1-8.txt,3,864
L1 Analysis,France-FR-1-8.txt,865,2682
L2 Outcome,France-FR-1-8.txt,1922,2682
L1 Background,France-FR-1-5.txt,5,571
L1 Analysis,France-FR-1-5.txt,572,3007
L2 Outcome,France-FR-1-5.txt,2369,3007
L1 Background,France-FR-1-9.txt,3,1113
L1 Analysis,France-FR-1-9.txt,1114,12813
L2 Outcome,France-FR-1-9.txt,11953,12813
L1 Background,France-FR-1-6.txt,3,973
L1 Analysis,France-FR-1-6.txt,974,1996
L2 Outcome,France-FR-1-6.txt,1674,1996
L1 Background,France-FR-1-7.txt,4,688
L1 Analysis,France-FR-1-7.txt,691,2312
L2 Outcome,France-FR-1-7.txt,2122,2312
L1 Background,France-FR-1-19.txt,2,2193
L1 Analysis,France-FR-1-19.txt,2196,9359
L2 Outcome,France-FR-1-19.txt,8270,9359
L1 Background,France-FR-1-10.txt,4,1587
L1 Analysis,France-FR-1-10.txt,1590,2379
L2 Outcome,France-FR-1-10.txt,2323,2379
L1 Background,France-FR-1-11.txt,5,365
L1 Analysis,France-FR-1-11.txt,368,1521
L2 Outcome,France-FR-1-11.txt,1265,1521
L1 Background,France-FR-1-12.txt,3,1439
L1 Analysis,France-FR-1-12.txt,1440,2832
L2 Outcome,France-FR-1-12.txt,2752,2832
L1 Background,France-FR-1-14.txt,3,1090
L1 Analysis,France-FR-1-14.txt,1091,2873
L2 Outcome,France-FR-1-14.txt,2124,2873
L1 Background,France-FR-1-13.txt,5,2768
L1 Analysis,France-FR-1-13.txt,2771,3404
L2 Outcome,France-FR-1-13.txt,3092,3404
L1 Background,France-FR-1-15.txt,3,4613
L1 Analysis,France-FR-1-15.txt,4616,5558
L2 Outcome,France-FR-1-15.txt,5231,5558
L1 Background,France-FR-1-16.txt,5,590
L1 Analysis,France-FR-1-16.txt,593,950
L2 Outcome,France-FR-1-16.txt,808,950
L1 Background,France-FR-1-17.txt,5,2652
L1 Analysis,France-FR-1-17.txt,2655,3368
L2 Outcome,France-FR-1-17.txt,3074,3368
L1 Background,France-FR-1-18.txt,3,1259
L1 Analysis,France-FR-1-18.txt,1260,7785
L2 Outcome,France-FR-1-18.txt,7652,7785
L1 Background,France-FR-1-20.txt,1,1645
L1 Analysis,France-FR-1-20.txt,1646,2435
L2 Outcome,France-FR-1-20.txt,2228,2435
L1 Background,France-FR-1-21.txt,3,1370
L1 Analysis,France-FR-1-21.txt,1371,4436
L2 Outcome,France-FR-1-21.txt,3796,4436
L1 Background,France-FR-1-22.txt,3,474
