Type,Document,Start,End
L1 Background,Czech_Republic-CZ-1-21.txt,5,2285
L1 Analysis,Czech_Republic-CZ-1-21.txt,2294,7734
L1 Background,Czech_Republic-CZ-1-27.txt,7,2733
L1 Analysis,Czech_Republic-CZ-1-27.txt,2740,10773
L1 Background,Czech_Republic-CZ-1-1.txt,27,12736
L1 Analysis,Czech_Republic-CZ-1-1.txt,12743,44667
L2 Outcome,Czech_Republic-CZ-1-1.txt,43431,44667
L1 Background,Czech_Republic-CZ-1-2.txt,16,9130
L1 Analysis,Czech_Republic-CZ-1-2.txt,9141,34082
L2 Outcome,Czech_Republic-CZ-1-2.txt,32944,34082
L1 Background,Czech_Republic-CZ-1-3.txt,6,11767
L1 Analysis,Czech_Republic-CZ-1-3.txt,11773,24322
L2 Outcome,Czech_Republic-CZ-1-3.txt,23696,24322
L1 Background,Czech_Republic-CZ-1-4.txt,13,3283
L1 Analysis,Czech_Republic-CZ-1-4.txt,3289,12021
L2 Outcome,Czech_Republic-CZ-1-4.txt,11089,12021
L1 Background,Czech_Republic-CZ-1-5.txt,14,10964
L1 Analysis,Czech_Republic-CZ-1-5.txt,10983,18992
L2 Outcome,Czech_Republic-CZ-1-5.txt,18450,18992
L1 Background,Czech_Republic-CZ-1-6.txt,13,18981
L1 Analysis,Czech_Republic-CZ-1-6.txt,18988,43423
L1 Background,Czech_Republic-CZ-1-7.txt,7,6082
L1 Analysis,Czech_Republic-CZ-1-7.txt,6089,14222
L1 Background,Czech_Republic-CZ-1-8.txt,43,2991
L1 Analysis,Czech_Republic-CZ-1-8.txt,2997,11612
L1 Background,Czech_Republic-CZ-1-9.txt,26,10462
L1 Analysis,Czech_Republic-CZ-1-9.txt,10475,23251
L2 Outcome,Czech_Republic-CZ-1-9.txt,22494,23251
L1 Background,Czech_Republic-CZ-1-10.txt,6,4040
L1 Analysis,Czech_Republic-CZ-1-10.txt,4047,11941
L1 Background,Czech_Republic-CZ-1-11.txt,6,789
L1 Analysis,Czech_Republic-CZ-1-11.txt,795,3044
L1 Background,Czech_Republic-CZ-1-12.txt,13,3580
L1 Analysis,Czech_Republic-CZ-1-12.txt,3586,5325
L2 Outcome,Czech_Republic-CZ-1-12.txt,4933,5324
L1 Background,Czech_Republic-CZ-1-13.txt,12,3651
L1 Analysis,Czech_Republic-CZ-1-13.txt,3657,11882
L2 Outcome,Czech_Republic-CZ-1-13.txt,11396,11882
L1 Background,Czech_Republic-CZ-1-14.txt,12,4861
L1 Analysis,Czech_Republic-CZ-1-14.txt,4868,12646
L2 Outcome,Czech_Republic-CZ-1-14.txt,12125,12646
L1 Background,Czech_Republic-CZ-1-15.txt,6,3003
L1 Analysis,Czech_Republic-CZ-1-15.txt,3010,13067
L2 Outcome,Czech_Republic-CZ-1-15.txt,12688,13067
L1 Background,Czech_Republic-CZ-1-16.txt,6,7793
L1 Analysis,Czech_Republic-CZ-1-16.txt,7799,18545
L2 Outcome,Czech_Republic-CZ-1-16.txt,18094,18545
L1 Background,Czech_Republic-CZ-1-17.txt,19,1866
L1 Analysis,Czech_Republic-CZ-1-17.txt,1872,10721
L2 Outcome,Czech_Republic-CZ-1-17.txt,10261,10721
L1 Background,Czech_Republic-CZ-1-19.txt,19,3992
L1 Analysis,Czech_Republic-CZ-1-19.txt,3999,22866
L2 Outcome,Czech_Republic-CZ-1-19.txt,22071,22866
L1 Background,Czech_Republic-CZ-1-20.txt,14,1725
L1 Analysis,Czech_Republic-CZ-1-20.txt,1733,8062
L1 Background,Czech_Republic-CZ-1-22.txt,7,4882
L1 Analysis,Czech_Republic-CZ-1-22.txt,4890,14026
L2 Outcome,Czech_Republic-CZ-1-22.txt,13402,14026
L1 Background,Czech_Republic-CZ-1-23.txt,5,8639
L1 Analysis,Czech_Republic-CZ-1-23.txt,8646,27075
L2 Outcome,Czech_Republic-CZ-1-23.txt,26347,27075
L1 Background,Czech_Republic-CZ-1-18.txt,36,12162
L1 Analysis,Czech_Republic-CZ-1-18.txt,12169,35925
L2 Outcome,Czech_Republic-CZ-1-18.txt,35377,35925
L1 Background,Czech_Republic-CZ-1-24.txt,19,4129
L1 Analysis,Czech_Republic-CZ-1-24.txt,4136,35882
L2 Outcome,Czech_Republic-CZ-1-24.txt,35219,35882
L1 Background,Czech_Republic-CZ-1-25.txt,32,2582
L1 Analysis,Czech_Republic-CZ-1-25.txt,2589,12604
L2 Outcome,Czech_Republic-CZ-1-25.txt,12051,12604
L1 Background,Czech_Republic-CZ-1-26.txt,11,1745
L1 Analysis,Czech_Republic-CZ-1-26.txt,1751,10634
L2 Outcome,Czech_Republic-CZ-1-26.txt,10372,10634
L1 Background,Czech_Republic-CZ-1-30.txt,6,313
L2 Outcome,Czech_Republic-CZ-1-30.txt,321,765
L1 Analysis,Czech_Republic-CZ-1-30.txt,321,765
L1 Background,Czech_Republic-CZ-1-28.txt,5,3692
L1 Analysis,Czech_Republic-CZ-1-28.txt,3698,12483
L1 Background,Czech_Republic-CZ-1-29.txt,6,5529
L1 Analysis,Czech_Republic-CZ-1-29.txt,5536,12095
L2 Outcome,Czech_Republic-CZ-1-29.txt,11740,12095
L1 Background,Czech_Republic-CZ-1-32.txt,14,7980
L1 Analysis,Czech_Republic-CZ-1-32.txt,7987,11915
L2 Outcome,Czech_Republic-CZ-1-32.txt,11752,11915
L1 Background,Czech_Republic-CZ-1-31.txt,12,5191
L1 Analysis,Czech_Republic-CZ-1-31.txt,5202,12476
L2 Outcome,Czech_Republic-CZ-1-31.txt,12240,12476
L1 Background,Czech_Republic-CZ-1-43.txt,59,1300
L1 Analysis,Czech_Republic-CZ-1-43.txt,1306,8177
L1 Background,Czech_Republic-CZ-1-36.txt,40,13486
L1 Analysis,Czech_Republic-CZ-1-36.txt,13490,80496
L2 Outcome,Czech_Republic-CZ-1-36.txt,80275,80496
L1 Background,Czech_Republic-CZ-1-33.txt,40,17975
L1 Analysis,Czech_Republic-CZ-1-33.txt,17979,34633
L2 Outcome,Czech_Republic-CZ-1-33.txt,34395,34633
L1 Background,Czech_Republic-CZ-1-42.txt,40,13013
L1 Analysis,Czech_Republic-CZ-1-42.txt,13017,35542
L2 Outcome,Czech_Republic-CZ-1-42.txt,34996,35542
L1 Background,Czech_Republic-CZ-1-35.txt,11,6418
L1 Analysis,Czech_Republic-CZ-1-35.txt,6425,10237
L2 Outcome,Czech_Republic-CZ-1-35.txt,9949,10237
L1 Background,Czech_Republic-CZ-1-37.txt,10,6140
L1 Analysis,Czech_Republic-CZ-1-37.txt,6159,10841
L2 Outcome,Czech_Republic-CZ-1-37.txt,10666,10841
L1 Background,Czech_Republic-CZ-1-34.txt,70,5281
L1 Analysis,Czech_Republic-CZ-1-34.txt,5288,14999
L2 Outcome,Czech_Republic-CZ-1-34.txt,14762,14999
L1 Background,Czech_Republic-CZ-1-38.txt,40,4753
L1 Analysis,Czech_Republic-CZ-1-38.txt,4757,12899
L2 Outcome,Czech_Republic-CZ-1-38.txt,12599,12899
L1 Background,Czech_Republic-CZ-1-39.txt,40,27782
L1 Analysis,Czech_Republic-CZ-1-39.txt,27790,68838
L2 Outcome,Czech_Republic-CZ-1-39.txt,65987,68838
L1 Background,Czech_Republic-CZ-1-40.txt,40,8534
L1 Analysis,Czech_Republic-CZ-1-40.txt,8538,27281
L2 Outcome,Czech_Republic-CZ-1-40.txt,27138,27281
L1 Background,Czech_Republic-CZ-1-41.txt,40,3060
L1 Analysis,Czech_Republic-CZ-1-41.txt,3064,5495
L2 Outcome,Czech_Republic-CZ-1-41.txt,5263,5495
L1 Background,Czech_Republic-CZ-1-46.txt,40,5010
L1 Analysis,Czech_Republic-CZ-1-46.txt,5014,17292
L1 Background,Czech_Republic-CZ-1-52.txt,40,10249
L1 Analysis,Czech_Republic-CZ-1-52.txt,10253,46828
L1 Background,Czech_Republic-CZ-1-44.txt,40,7636
L1 Analysis,Czech_Republic-CZ-1-44.txt,7640,18254
L2 Outcome,Czech_Republic-CZ-1-44.txt,17520,18254
L1 Background,Czech_Republic-CZ-1-45.txt,40,13295
L1 Analysis,Czech_Republic-CZ-1-45.txt,13299,24472
L2 Outcome,Czech_Republic-CZ-1-45.txt,23808,24472
L1 Background,Czech_Republic-CZ-1-47.txt,60,10228
L1 Analysis,Czech_Republic-CZ-1-47.txt,10234,14741
L2 Outcome,Czech_Republic-CZ-1-47.txt,14203,14741
L1 Background,Czech_Republic-CZ-1-50.txt,40,6105
L1 Analysis,Czech_Republic-CZ-1-50.txt,6109,9383
L2 Outcome,Czech_Republic-CZ-1-50.txt,9050,9383
L1 Background,Czech_Republic-CZ-1-51.txt,40,2914
L1 Analysis,Czech_Republic-CZ-1-51.txt,2918,5170
L2 Outcome,Czech_Republic-CZ-1-51.txt,4872,5170
L1 Background,Czech_Republic-CZ-1-49.txt,40,3193
L1 Analysis,Czech_Republic-CZ-1-49.txt,3197,6404
L2 Outcome,Czech_Republic-CZ-1-49.txt,6196,6404
L1 Background,Czech_Republic-CZ-1-48.txt,40,3881
L1 Analysis,Czech_Republic-CZ-1-48.txt,3885,10419
L2 Outcome,Czech_Republic-CZ-1-48.txt,10261,10419
L1 Background,Czech_Republic-CZ-1-56.txt,59,15785
L1 Analysis,Czech_Republic-CZ-1-56.txt,15791,26093
L1 Background,Czech_Republic-CZ-1-57.txt,60,9000
L1 Analysis,Czech_Republic-CZ-1-57.txt,9006,17024
L2 Outcome,Czech_Republic-CZ-1-57.txt,16943,17024
L1 Background,Czech_Republic-CZ-1-53.txt,60,13943
L1 Analysis,Czech_Republic-CZ-1-53.txt,13949,32705
L2 Outcome,Czech_Republic-CZ-1-53.txt,32448,32705
L1 Background,Czech_Republic-CZ-1-54.txt,40,27113
L1 Analysis,Czech_Republic-CZ-1-54.txt,27119,75001
L2 Outcome,Czech_Republic-CZ-1-54.txt,73785,75001
L1 Background,Czech_Republic-CZ-1-58.txt,40,10383
L1 Analysis,Czech_Republic-CZ-1-58.txt,10391,20660
L2 Outcome,Czech_Republic-CZ-1-58.txt,20096,20660
L1 Background,Czech_Republic-CZ-1-55.txt,40,8958
L1 Analysis,Czech_Republic-CZ-1-55.txt,8964,44569
L2 Outcome,Czech_Republic-CZ-1-55.txt,44073,44569
L1 Background,Czech_Republic-CZ-1-60.txt,40,8165
L1 Analysis,Czech_Republic-CZ-1-60.txt,8169,118690
L2 Outcome,Czech_Republic-CZ-1-60.txt,117973,118690
L1 Background,Czech_Republic-CZ-1-59.txt,44,4336
L1 Analysis,Czech_Republic-CZ-1-59.txt,4341,9722
L1 Background,Czech_Republic-CZ-1-62.txt,8,4259
L1 Analysis,Czech_Republic-CZ-1-62.txt,4266,12439
L2 Outcome,Czech_Republic-CZ-1-62.txt,11827,12439
L1 Background,Czech_Republic-CZ-1-61.txt,6,5312
L1 Analysis,Czech_Republic-CZ-1-61.txt,5319,25118
L2 Outcome,Czech_Republic-CZ-1-61.txt,24592,25118
L1 Background,Czech_Republic-CZ-1-63.txt,16,5862
L1 Analysis,Czech_Republic-CZ-1-63.txt,5869,15406
L2 Outcome,Czech_Republic-CZ-1-63.txt,15198,15406
L1 Background,Czech_Republic-CZ-1-64.txt,7,3686
L1 Analysis,Czech_Republic-CZ-1-64.txt,3693,8047
L1 Background,Czech_Republic-CZ-1-66.txt,6,5705
L1 Analysis,Czech_Republic-CZ-1-66.txt,5711,23587
L1 Background,Czech_Republic-CZ-1-65.txt,6,13190
L1 Analysis,Czech_Republic-CZ-1-65.txt,13196,25896
L1 Background,Czech_Republic-CZ-1-67.txt,4,5069
L1 Analysis,Czech_Republic-CZ-1-67.txt,5075,12014
L2 Outcome,Czech_Republic-CZ-1-67.txt,11453,12014
L1 Background,Czech_Republic-CZ-1-68.txt,6,2789
L1 Analysis,Czech_Republic-CZ-1-68.txt,2795,10519
L2 Outcome,Czech_Republic-CZ-1-68.txt,9859,10519
L1 Background,Czech_Republic-CZ-1-70.txt,66,5549
L1 Analysis,Czech_Republic-CZ-1-70.txt,5564,17860
L2 Outcome,Czech_Republic-CZ-1-70.txt,17436,17860
L1 Background,Czech_Republic-CZ-1-69.txt,6,3065
L1 Analysis,Czech_Republic-CZ-1-69.txt,3072,8632
L2 Outcome,Czech_Republic-CZ-1-69.txt,8092,8632
L1 Background,Czech_Republic-CZ-1-71.txt,66,3957
L1 Analysis,Czech_Republic-CZ-1-71.txt,3963,15087
L2 Outcome,Czech_Republic-CZ-1-71.txt,14716,15087
L1 Background,Czech_Republic-CZ-1-72.txt,6,7761
L1 Analysis,Czech_Republic-CZ-1-72.txt,7769,29224
L2 Outcome,Czech_Republic-CZ-1-72.txt,28493,29224
L1 Background,Czech_Republic-CZ-1-73.txt,5,2475
L1 Analysis,Czech_Republic-CZ-1-73.txt,2480,11601
L2 Outcome,Czech_Republic-CZ-1-73.txt,10444,11601
L1 Background,Czech_Republic-CZ-1-75.txt,1537,7255
L1 Analysis,Czech_Republic-CZ-1-75.txt,7273,19135
L1 Analysis,Czech_Republic-CZ-1-74.txt,6,1187
L2 Outcome,Czech_Republic-CZ-1-74.txt,963,1187
L1 Background,Czech_Republic-CZ-1-77.txt,6,20003
L1 Analysis,Czech_Republic-CZ-1-77.txt,20010,35172
L1 Background,Czech_Republic-CZ-1-76.txt,6,7033
L1 Analysis,Czech_Republic-CZ-1-76.txt,7042,25092
L1 Background,Czech_Republic-CZ-1-78.txt,7,8873
L1 Analysis,Czech_Republic-CZ-1-78.txt,8884,20697
L1 Background,Czech_Republic-CZ-1-79.txt,5,11227
L1 Analysis,Czech_Republic-CZ-1-79.txt,11233,26682
L2 Outcome,Czech_Republic-CZ-1-79.txt,26267,26682
L1 Background,Czech_Republic-CZ-1-80.txt,6,6071
L1 Analysis,Czech_Republic-CZ-1-80.txt,6077,14141
L1 Background,Czech_Republic-CZ-1-99.txt,13,6901
L1 Analysis,Czech_Republic-CZ-1-99.txt,6909,18507
L1 Background,Czech_Republic-CZ-1-100.txt,1116,13522
L1 Analysis,Czech_Republic-CZ-1-100.txt,13530,25449
L1 Background,Czech_Republic-CZ-1-81.txt,7,10781
L1 Analysis,Czech_Republic-CZ-1-81.txt,10790,20561
L2 Outcome,Czech_Republic-CZ-1-81.txt,20154,20561
L1 Background,Czech_Republic-CZ-1-82.txt,7,8443
L1 Analysis,Czech_Republic-CZ-1-82.txt,8450,23486
L1 Background,Czech_Republic-CZ-1-86.txt,7,9426
L1 Analysis,Czech_Republic-CZ-1-86.txt,9434,42985
L1 Background,Czech_Republic-CZ-1-84.txt,6,10566
L1 Analysis,Czech_Republic-CZ-1-84.txt,10572,37703
L1 Background,Czech_Republic-CZ-1-83.txt,6,3331
L1 Analysis,Czech_Republic-CZ-1-83.txt,3338,12761
L1 Background,Czech_Republic-CZ-1-85.txt,6,4937
L1 Analysis,Czech_Republic-CZ-1-85.txt,4951,25556
L2 Outcome,Czech_Republic-CZ-1-85.txt,25088,25556
L1 Background,Czech_Republic-CZ-1-88.txt,6,10145
L1 Analysis,Czech_Republic-CZ-1-88.txt,10152,27903
L2 Outcome,Czech_Republic-CZ-1-88.txt,27673,27903
L1 Background,Czech_Republic-CZ-1-89.txt,7,2617
L1 Analysis,Czech_Republic-CZ-1-89.txt,2624,15374
L2 Outcome,Czech_Republic-CZ-1-89.txt,14821,15374
L1 Background,Czech_Republic-CZ-1-90.txt,7,23765
L1 Analysis,Czech_Republic-CZ-1-90.txt,23772,54379
L2 Outcome,Czech_Republic-CZ-1-90.txt,54029,54379
L1 Background,Czech_Republic-CZ-1-87.txt,7,18104
L1 Analysis,Czech_Republic-CZ-1-87.txt,18111,46435
L1 Background,Czech_Republic-CZ-1-91.txt,13,5967
L1 Analysis,Czech_Republic-CZ-1-91.txt,5974,10807
L2 Outcome,Czech_Republic-CZ-1-91.txt,9610,10807
L1 Background,Czech_Republic-CZ-1-92.txt,6,6645
L1 Analysis,Czech_Republic-CZ-1-92.txt,6651,18138
L1 Background,Czech_Republic-CZ-1-93.txt,7,2611
L1 Analysis,Czech_Republic-CZ-1-93.txt,2617,13780
L2 Outcome,Czech_Republic-CZ-1-93.txt,13570,13780
L1 Background,Czech_Republic-CZ-1-94.txt,11,3118
L1 Analysis,Czech_Republic-CZ-1-94.txt,3124,6858
L2 Outcome,Czech_Republic-CZ-1-94.txt,6341,6858
L1 Background,Czech_Republic-CZ-1-95.txt,7,5708
L1 Analysis,Czech_Republic-CZ-1-95.txt,5714,12476
L2 Outcome,Czech_Republic-CZ-1-95.txt,11894,12476
L1 Background,Czech_Republic-CZ-1-97.txt,6,20571
L1 Analysis,Czech_Republic-CZ-1-97.txt,20577,63093
L1 Background,Czech_Republic-CZ-1-98.txt,6,21005
L1 Analysis,Czech_Republic-CZ-1-98.txt,21011,45026
L2 Outcome,Czech_Republic-CZ-1-98.txt,44831,45026
L1 Background,Czech_Republic-CZ-1-96.txt,6,4460
L1 Analysis,Czech_Republic-CZ-1-96.txt,4467,11145
