Type,Document,Start,End
L0 Heading,Czech_Republic-CZ-1-21.txt,1193,1216
L0 Out of Scope,Czech_Republic-CZ-1-27.txt,0,759
L0 Heading,Czech_Republic-CZ-1-27.txt,766,787
L1 Background,Czech_Republic-CZ-1-27.txt,766,3513
L0 Out of Scope,Czech_Republic-CZ-1-1.txt,19,1274
L1 Background,Czech_Republic-CZ-1-1.txt,1282,14139
L0 Heading,Czech_Republic-CZ-1-1.txt,8300,8353
L0 Heading,Czech_Republic-CZ-1-1.txt,3687,3745
L0 Heading,Czech_Republic-CZ-1-1.txt,1311,1327
L0 Heading,Czech_Republic-CZ-1-1.txt,45114,45139
L0 Heading,Czech_Republic-CZ-1-1.txt,44572,44642
L0 Heading,Czech_Republic-CZ-1-1.txt,36963,37015
L0 Heading,Czech_Republic-CZ-1-1.txt,31437,31479
L0 Heading,Czech_Republic-CZ-1-1.txt,15781,15850
L0 Heading,Czech_Republic-CZ-1-1.txt,1283,1304
L0 Out of Scope,Czech_Republic-CZ-1-2.txt,5,727
L1 Background,Czech_Republic-CZ-1-2.txt,738,9911
L0 Heading,Czech_Republic-CZ-1-2.txt,33761,33808
L0 Heading,Czech_Republic-CZ-1-2.txt,9922,9958
L0 Heading,Czech_Republic-CZ-1-2.txt,770,808
L0 Heading,Czech_Republic-CZ-1-2.txt,738,759
L0 Out of Scope,Czech_Republic-CZ-1-3.txt,0,962
L1 Background,Czech_Republic-CZ-1-3.txt,968,12746
L0 Heading,Czech_Republic-CZ-1-3.txt,968,979
L0 Heading,Czech_Republic-CZ-1-3.txt,984,987
L0 Heading,Czech_Republic-CZ-1-3.txt,2102,2105
L1 Background,Czech_Republic-CZ-1-21.txt,1194,3496
L0 Out of Scope,Czech_Republic-CZ-1-21.txt,0,1188
L0 Out of Scope,Czech_Republic-CZ-1-4.txt,0,889
L1 Background,Czech_Republic-CZ-1-4.txt,902,4172
L0 Out of Scope,Czech_Republic-CZ-1-5.txt,0,952
L0 Heading,Czech_Republic-CZ-1-5.txt,966,987
L0 Heading,Czech_Republic-CZ-1-5.txt,994,1050
L0 Heading,Czech_Republic-CZ-1-5.txt,5523,5578
L0 Heading,Czech_Republic-CZ-1-5.txt,9495,9549
L0 Heading,Czech_Republic-CZ-1-5.txt,12121,12170
L0 Heading,Czech_Republic-CZ-1-5.txt,19637,19668
L0 Out of Scope,Czech_Republic-CZ-1-6.txt,0,1507
L0 Heading,Czech_Republic-CZ-1-6.txt,1520,1541
L1 Background,Czech_Republic-CZ-1-5.txt,966,12102
L1 Background,Czech_Republic-CZ-1-6.txt,1520,20509
L0 Out of Scope,Czech_Republic-CZ-1-7.txt,0,873
L0 Heading,Czech_Republic-CZ-1-7.txt,880,901
L1 Background,Czech_Republic-CZ-1-7.txt,880,6976
L0 Heading,Czech_Republic-CZ-1-7.txt,6983,6986
L0 Heading,Czech_Republic-CZ-1-7.txt,6991,7041
L0 Heading,Czech_Republic-CZ-1-7.txt,12995,13046
